np        i        time/s        processNum        efficiency
20        7        0.366720        20        183.36        
20        8        0.336155        20        168.08        
20        9        0.368022        20        184.01        
21        0        0.393074        21        187.18        
21        1        0.351689        21        167.47        
21        2        0.355047        21        169.07        
21        3        0.387565        21        184.55        
21        4        0.399703        21        190.33        
21        5        0.379042        21        180.50        
21        6        0.372358        21        177.31        
21        7        0.350529        21        166.92        
21        8        0.341405        21        162.57        
21        9        0.317234        21        151.06        
22        0        0.454005        22        206.37        
22        1        0.426461        22        193.85        
22        2        0.459395        22        208.82        
22        3        0.349572        22        158.90        
22        4        0.407020        22        185.01        
22        5        0.425932        22        193.61        
22        6        0.383174        22        174.17        
22        7        0.438985        22        199.54        
22        8        0.403828        22        183.56        
22        9        0.362785        22        164.90        
23        0        0.364959        23        158.68        
23        1        0.428752        23        186.41        
23        2        0.416974        23        181.29        
23        3        0.402543        23        175.02        
23        4        0.352901        23        153.44        
23        5        0.361915        23        157.35        
23        6        0.397056        23        172.63        
23        7        0.418171        23        181.81        
23        8        0.417452        23        181.50        
23        9        0.442382        23        192.34        
24        0        0.417725        24        174.05        
24        1        0.356197        24        148.42        
24        2        0.382777        24        159.49        
24        3        0.420514        24        175.21        
24        4        0.394341        24        164.31        
24        5        0.353378        24        147.24        
24        6        0.397339        24        165.56        
24        7        0.394267        24        164.28        
24        8        0.388021        24        161.68        
24        9        0.403985        24        168.33        
25        0        0.471647        25        188.66        
25        1        0.433173        25        173.27        
25        2        0.484611        25        193.84        
25        3        0.405455        25        162.18        
25        4        0.425652        25        170.26        
25        5        0.421474        25        168.59        
25        6        0.433630        25        173.45        
25        7        0.414792        25        165.92        
25        8        0.388751        25        155.50        
25        9        0.381197        25        152.48        
26        0        0.488140        26        187.75        
26        1        0.448594        26        172.54        
26        2        0.403302        26        155.12        
26        3        0.447999        26        172.31        
26        4        0.440776        26        169.53        
26        5        0.391328        26        150.51        
26        6        0.420533        26        161.74        
26        7        0.443949        26        170.75        
26        8        0.428462        26        164.79        
26        9        0.433019        26        166.55        
27        0        0.472783        27        175.10        
27        1        0.499216        27        184.89        
27        2        0.512079        27        189.66        
27        3        0.490614        27        181.71        
27        4        0.453777        27        168.07        
27        5        0.470033        27        174.09        
27        6        0.485669        27        179.88        
27        7        0.443971        27        164.43        
27        8        0.476285        27        176.40        
27        9        0.551683        27        204.33        
28        0        0.495373        28        176.92        
28        1        0.459223        28        164.01        
28        2        0.389688        28        139.17        
28        3        0.355762        28        127.06        
28        4        0.394824        28        141.01        
28        5        0.390101        28        139.32        
28        6        0.500514        28        178.75        
28        7        0.451246        28        161.16        
28        8        0.484409        28        173.00        
28        9        0.395416        28        141.22        
29        0        0.575704        29        198.52        
29        1        0.543810        29        187.52        
29        2        0.471732        29        162.67        
29        3        0.440729        29        151.98        
29        4        0.489158        29        168.68        
29        5        0.464226        29        160.08        
29        6        0.480324        29        165.63        
29        7        0.456030        29        157.25        
29        8        0.464917        29        160.32        
29        9        0.500437        29        172.56        
30        0        0.463866        30        154.62        
30        1        0.438276        30        146.09        
30        2        0.428273        30        142.76        
30        3        0.581134        30        193.71        
30        4        0.437477        30        145.83        
30        5        0.442996        30        147.67        
30        6        0.450335        30        150.11        
30        7        0.432023        30        144.01        
30        8        0.469595        30        156.53        
30        9        0.419718        30        139.91        
31        0        0.597027        31        192.59        
31        1        0.584926        31        188.69        
31        2        0.521808        31        168.33        
31        3        0.537958        31        173.53        
31        4        0.564636        31        182.14        
31        5        0.582368        31        187.86        
31        6        0.574707        31        185.39        
31        7        0.629366        31        203.02        
31        8        0.630066        31        203.25        
31        9        0.593483        31        191.45        
32        0        0.584101        32        182.53        
32        1        0.586921        32        183.41        
32        2        0.588052        32        183.77        
32        3        0.474170        32        148.18        
32        4        0.540777        32        168.99        
32        5        0.481686        32        150.53        
32        6        0.494178        32        154.43        
32        7        0.476229        32        148.82        
32        8        0.575636        32        179.89        
32        9        0.561956        32        175.61        
