np        i        time/s        processNum        efficiency
1        0        0.696382        1        6963.82        
1        1        0.731075        1        7310.75        
1        2        0.680955        1        6809.55        
1        3        0.708150        1        7081.50        
1        4        0.685184        1        6851.84        
1        5        0.653783        1        6537.83        
1        6        0.660314        1        6603.14        
1        7        0.631625        1        6316.25        
1        8        0.651913        1        6519.13        
1        9        0.696796        1        6967.96        
2        0        0.597951        2        2989.76        
2        1        0.488548        2        2442.74        
2        2        0.602400        2        3012.00        
2        3        0.504724        2        2523.62        
2        4        0.562204        2        2811.02        
2        5        0.606946        2        3034.73        
2        6        0.543374        2        2716.87        
2        7        0.586723        2        2933.62        
2        8        0.605250        2        3026.25        
2        9        0.481021        2        2405.10        
3        0        0.428626        3        1428.75        
3        1        0.657617        3        2192.06        
3        2        0.408197        3        1360.66        
3        3        0.393038        3        1310.13        
3        4        0.606303        3        2021.01        
3        5        0.387687        3        1292.29        
3        6        0.442906        3        1476.35        
3        7        0.377682        3        1258.94        
3        8        0.381923        3        1273.08        
3        9        0.495818        3        1652.73        
4        0        0.700639        4        1751.60        
4        1        0.622606        4        1556.52        
4        2        0.516644        4        1291.61        
4        3        0.511884        4        1279.71        
4        4        0.569688        4        1424.22        
4        5        0.613433        4        1533.58        
4        6        0.616013        4        1540.03        
4        7        0.586117        4        1465.29        
4        8        0.477593        4        1193.98        
4        9        0.522019        4        1305.05        
5        0        0.944859        5        1889.72        
5        1        0.426108        5        852.22        
5        2        0.534576        5        1069.15        
5        3        0.425193        5        850.39        
5        4        0.459962        5        919.92        
5        5        0.433841        5        867.68        
5        6        0.460292        5        920.58        
5        7        0.498865        5        997.73        
5        8        0.470735        5        941.47        
5        9        0.516062        5        1032.12        
6        0        0.792835        6        1321.39        
6        1        0.626158        6        1043.60        
6        2        0.625011        6        1041.68        
6        3        0.655319        6        1092.20        
6        4        0.588885        6        981.47        
6        5        0.850197        6        1417.00        
6        6        0.564030        6        940.05        
6        7        0.958364        6        1597.27        
6        8        0.627115        6        1045.19        
6        9        0.688537        6        1147.56        
7        0        0.561986        7        802.84        
7        1        0.584152        7        834.50        
7        2        0.559281        7        798.97        
