np        i        time/s        processNum        efficiency
7        3        0.635913        7        908.45        
7        4        0.618222        7        883.17        
7        5        0.519715        7        742.45        
7        6        0.595993        7        851.42        
7        7        0.660511        7        943.59        
7        8        0.582712        7        832.45        
7        9        0.636811        7        909.73        
8        0        0.815529        8        1019.41        
8        1        0.752109        8        940.14        
8        2        0.785658        8        982.07        
8        3        0.951880        8        1189.85        
8        4        0.720923        8        901.15        
8        5        0.806749        8        1008.44        
8        6        0.731849        8        914.81        
8        7        0.805218        8        1006.52        
8        8        0.680284        8        850.35        
8        9        0.861357        8        1076.70        
9        0        0.616210        9        684.68        
9        1        0.600994        9        667.77        
9        2        0.614540        9        682.82        
9        3        0.521434        9        579.37        
9        4        0.597062        9        663.40        
9        5        0.597492        9        663.88        
9        6        0.667313        9        741.46        
9        7        0.564028        9        626.70        
9        8        0.671195        9        745.77        
9        9        0.592684        9        658.54        
10        0        0.920725        10        920.72        
10        1        0.837517        10        837.52        
10        2        0.841091        10        841.09        
10        3        0.835616        10        835.62        
10        4        0.853140        10        853.14        
10        5        0.777595        10        777.59        
10        6        0.800065        10        800.07        
10        7        0.765720        10        765.72        
10        8        0.864098        10        864.10        
10        9        0.858881        10        858.88        
11        0        0.973585        11        885.08        
11        1        0.901509        11        819.55        
11        2        1.047241        11        952.04        
11        3        0.905366        11        823.06        
11        4        0.869384        11        790.35        
11        5        0.937036        11        851.85        
11        6        0.899668        11        817.88        
11        7        1.290729        11        1173.39        
11        8        1.180663        11        1073.33        
11        9        0.953168        11        866.52        
12        0        1.238477        12        1032.06        
12        1        1.024345        12        853.62        
12        2        1.168257        12        973.55        
12        3        0.976991        12        814.16        
12        4        1.035346        12        862.79        
12        5        0.991442        12        826.20        
12        6        1.017594        12        848.00        
12        7        1.030563        12        858.80        
12        8        0.969976        12        808.31        
12        9        1.201342        12        1001.12        
13        0        1.009606        13        776.62        
13        1        0.984367        13        757.21        
13        2        0.989024        13        760.79        
13        3        1.029533        13        791.95        
13        4        1.046755        13        805.20        
13        5        1.101759        13        847.51        
13        6        1.084634        13        834.33        
13        7        1.091481        13        839.60        
13        8        1.015791        13        781.38        
13        9        1.022543        13        786.57        
14        0        1.204547        14        860.39        
14        1        1.143119        14        816.51        
14        2        1.227324        14        876.66        
14        3        1.119783        14        799.84        
14        4        1.238952        14        884.97        
14        5        1.227736        14        876.95        
14        6        1.100524        14        786.09        
14        7        1.169935        14        835.67        
14        8        1.064580        14        760.41        
14        9        1.109934        14        792.81        
15        0        1.139813        15        759.88        
15        1        1.188564        15        792.38        
15        2        1.109988        15        739.99        
15        3        1.051857        15        701.24        
15        4        1.195712        15        797.14        
15        5        1.063626        15        709.08        
15        6        1.110776        15        740.52        
15        7        1.142842        15        761.89        
15        8        1.138367        15        758.91        
15        9        1.031738        15        687.83        
16        0        2.775046        16        1734.40        
16        1        1.767004        16        1104.38        
16        2        1.732006        16        1082.50        
16        3        1.872532        16        1170.33        
16        4        1.894591        16        1184.12        
16        5        1.701116        16        1063.20        
16        6        1.646279        16        1028.92        
16        7        1.985610        16        1241.01        
16        8        1.926178        16        1203.86        
16        9        1.772746        16        1107.97        
17        0        1.923482        17        1131.46        
17        1        1.718066        17        1010.63        
17        2        1.645126        17        967.72        
17        3        1.584664        17        932.16        
17        4        1.671228        17        983.08        
17        5        1.657464        17        974.98        
17        6        1.662289        17        977.82        
17        7        1.627995        17        957.64        
17        8        1.811513        17        1065.60        
17        9        1.610268        17        947.22        
18        0        1.778063        18        987.81        
18        1        1.659362        18        921.87        
18        2        1.885612        18        1047.56        
18        3        1.871292        18        1039.61        
18        4        1.640436        18        911.35        
18        5        1.663077        18        923.93        
18        6        1.814683        18        1008.16        
18        7        1.623642        18        902.02        
18        8        1.921467        18        1067.48        
18        9        2.410572        18        1339.21        
19        0        2.604682        19        1370.89        
19        1        2.515017        19        1323.69        
19        2        2.029163        19        1067.98        
19        3        2.146953        19        1129.98        
19        4        2.024625        19        1065.59        
19        5        1.769382        19        931.25        
19        6        1.757216        19        924.85        
19        7        1.708693        19        899.31        
19        8        1.804077        19        949.51        
19        9        1.825497        19        960.79        
20        0        1.878899        20        939.45        
20        1        2.018319        20        1009.16        
20        2        2.330600        20        1165.30        
20        3        2.128124        20        1064.06        
20        4        1.796956        20        898.48        
20        5        2.029446        20        1014.72        
20        6        1.804398        20        902.20        
20        7        1.781913        20        890.96        
20        8        1.848987        20        924.49        
20        9        1.884945        20        942.47        
21        0        1.861297        21        886.33        
21        1        1.725382        21        821.61        
21        2        1.882488        21        896.42        
21        3        1.927464        21        917.84        
21        4        1.670681        21        795.56        
21        5        1.897894        21        903.76        
21        6        1.931729        21        919.87        
21        7        2.247937        21        1070.45        
21        8        2.518692        21        1199.38        
21        9        2.525056        21        1202.41        
22        0        2.385776        22        1084.44        
22        1        2.353487        22        1069.77        
22        2        2.305553        22        1047.98        
22        3        2.321932        22        1055.42        
22        4        2.093070        22        951.40        
22        5        2.118318        22        962.87        
22        6        2.377767        22        1080.80        
22        7        2.267980        22        1030.90        
22        8        2.184623        22        993.01        
22        9        2.363707        22        1074.41        
23        0        2.284580        23        993.30        
23        1        2.545660        23        1106.81        
23        2        2.713220        23        1179.66        
23        3        2.194911        23        954.31        
23        4        2.619983        23        1139.12        
23        5        2.460579        23        1069.82        
23        6        2.256961        23        981.29        
23        7        2.182840        23        949.06        
23        8        2.568158        23        1116.59        
23        9        2.558058        23        1112.20        
24        0        2.439391        24        1016.41        
24        1        2.367021        24        986.26        
24        2        2.288829        24        953.68        
24        3        2.324296        24        968.46        
24        4        2.641277        24        1100.53        
24        5        2.069610        24        862.34        
24        6        2.316250        24        965.10        
24        7        2.105392        24        877.25        
24        8        2.108835        24        878.68        
24        9        2.237432        24        932.26        
25        0        2.320872        25        928.35        
25        1        2.592268        25        1036.91        
25        2        2.551983        25        1020.79        
25        3        2.877819        25        1151.13        
25        4        2.585879        25        1034.35        
25        5        2.089619        25        835.85        
25        6        2.218378        25        887.35        
25        7        2.103165        25        841.27        
25        8        2.845264        25        1138.11        
25        9        2.941418        25        1176.57        
26        0        4.479604        26        1722.92        
26        1        3.034957        26        1167.29        
26        2        2.641246        26        1015.86        
26        3        3.056065        26        1175.41        
26        4        3.159442        26        1215.17        
26        5        2.914895        26        1121.11        
26        6        2.530566        26        973.29        
26        7        2.491129        26        958.13        
26        8        2.750725        26        1057.97        
26        9        4.354832        26        1674.94        
27        0        3.804660        27        1409.13        
27        1        2.595683        27        961.36        
27        2        2.690030        27        996.31        
27        3        2.395119        27        887.08        
27        4        2.891255        27        1070.84        
27        5        2.603252        27        964.17        
27        6        3.093452        27        1145.72        
27        7        2.749399        27        1018.30        
27        8        2.474131        27        916.34        
27        9        2.388104        27        884.48        
28        0        2.404864        28        858.88        
28        1        2.435759        28        869.91        
28        2        2.516428        28        898.72        
28        3        2.880484        28        1028.74        
28        4        3.457983        28        1234.99        
28        5        3.099486        28        1106.96        
28        6        3.165175        28        1130.42        
28        7        2.201744        28        786.34        
28        8        2.621682        28        936.32        
28        9        3.237230        28        1156.15        
29        0        4.460113        29        1537.97        
29        1        4.035573        29        1391.58        
29        2        3.740605        29        1289.86        
29        3        3.710160        29        1279.37        
29        4        3.103007        29        1070.00        
29        5        3.001662        29        1035.06        
29        6        3.533651        29        1218.50        
29        7        3.600525        29        1241.56        
29        8        2.980512        29        1027.76        
29        9        3.507663        29        1209.54        
30        0        3.437589        30        1145.86        
30        1        2.968938        30        989.65        
30        2        3.110170        30        1036.72        
30        3        2.706787        30        902.26        
30        4        2.932902        30        977.63        
30        5        3.565520        30        1188.51        
30        6        3.318000        30        1106.00        
30        7        3.178503        30        1059.50        
30        8        2.617025        30        872.34        
30        9        2.728786        30        909.60        
31        0        3.438609        31        1109.23        
31        1        4.200217        31        1354.91        
31        2        3.491553        31        1126.31        
31        3        3.822426        31        1233.04        
31        4        3.062229        31        987.82        
31        5        3.020253        31        974.28        
31        6        3.068671        31        989.89        
31        7        3.414207        31        1101.36        
31        8        3.365815        31        1085.75        
31        9        3.618477        31        1167.25        
32        0        3.614139        32        1129.42        
32        1        3.172575        32        991.43        
32        2        3.270702        32        1022.09        
32        3        3.538390        32        1105.75        
32        4        3.822301        32        1194.47        
32        5        3.451268        32        1078.52        
32        6        3.441221        32        1075.38        
32        7        3.052638        32        953.95        
32        8        3.577630        32        1118.01        
32        9        3.526161        32        1101.93        
